rodada,data,dia da semana,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,perdedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,edição
35,2018-11-18,Domingo,17:01,Botafogo-RJ,Internacional,4-2-3-1,4-1-4-1,J. Mannarino,O. Hellmann,Botafogo-RJ,Internacional,Estádio Nilton Santos,1,0,RJ,RS,2018
35,2018-11-18,Domingo,19:00,Sao Paulo,Cruzeiro,4-2-3-1,4-2-3-1,A. Soares Jardine,L. Venker de Menezes,Sao Paulo,Cruzeiro, Morumbi,1,0,SP,MG,2018
35,2018-11-18,Domingo,19:00,Gremio,Chapecoense,4-2-3-1,4-2-3-1,Renato Gaúcho,C. dos Santos Oliveira,Gremio,Chapecoense,Arena do Grêmio,2,0,RS,SC,2018
35,2018-11-19,Segunda-feira,20:00,Fluminense,Ceara,4-2-3-1,4-2-2-2,M. de Oliveira Santos,L. Cirne Lima de Lorenzi,Empate,Empate, Maracanã,0,0,RJ,CE,2018
36,2018-11-21,Quarta-feira,19:30,Internacional,Atletico-MG,4-2-3-1,4-2-3-1,O. Hellmann,L. Culpi,Atletico-MG,Internacional,Estádio José Pinheiro Borda,1,2,RS,MG,2018
36,2018-11-21,Quarta-feira,21:00,Santos,Botafogo-RJ,4-2-3-1,4-2-3-1,A. Stival,J. Mannarino,Empate,Empate,Estádio Urbano Caldeira,1,1,SP,RJ,2018
36,2018-11-21,Quarta-feira,21:45,Athletico-PR,Corinthians,4-2-3-1,4-2-3-1,T. Retzalff Nunes,J. Ribeiro Ventura,Athletico-PR,Corinthians,Estádio Joaquim Américo Guimarães,1,0,PR,SP,2018
36,2018-11-21,Quarta-feira,21:45,Flamengo,Gremio,4-2-3-1,4-2-3-1,D. Silvestre Júnior,Renato Gaúcho,Flamengo,Gremio, Maracanã,2,0,RJ,RS,2018
36,2018-11-21,Quarta-feira,21:45,Cruzeiro,Vitoria,4-2-3-1,4-1-4-1,L. Venker de Menezes,J. Burse,Cruzeiro,Vitoria, Mineirão,3,0,MG,BA,2018
36,2018-11-21,Quarta-feira,21:46,Palmeiras,America-MG,4-2-3-1,4-2-3-1,L. Scolari,G. de Oliveira,Palmeiras,America-MG,Allianz Parque,4,0,SP,MG,2018
36,2018-11-22,Quinta-feira,20:00,Vasco,Sao Paulo,4-2-3-1,4-2-3-1,A. Valentim do Carmo Neto,A. Soares Jardine,Vasco,Sao Paulo,Estádio Vasco da Gama,2,0,RJ,SP,2018
36,2018-11-22,Quinta-feira,21:00,Chapecoense,Sport,4-1-3-2,4-2-3-1,C. dos Santos Oliveira,M. Mendes,Chapecoense,Sport,Arena Condá,2,1,SC,PE,2018
36,2018-11-22,Quinta-feira,21:01,Ceara,Parana,4-2-3-1,4-4-2,L. Cirne Lima de Lorenzi,L. Cavalcanti,Ceara,Parana,Arena Castelão,1,0,CE,PR,2018
36,2018-11-22,Quinta-feira,21:01,Bahia,Fluminense,4-2-3-1,3-4-2-1,E. Alves Moreira,M. de Oliveira Santos,Bahia,Fluminense,Itaipava Arena Fonte Nova,2,0,BA,RJ,2018
